index,Company,Country,Rating,Whisky,Collection,lon,lat
0,'t Koelschip,Netherlands,32.63,8,18,5.2291480,52.3705804
1,10th Mountain,United States,0.00,2,2,-106.3734687,39.6406408
2,2bar Spirits,United States,73.67,3,3,-122.3281104,47.5764854
3,3 Badge Beverage,United States,84.40,10,65,-122.4573835,38.2902396
6,66 Gilead Distillery,Canada,81.00,2,11,-77.2684887,43.9940363
7,66 Gilead Distillery,Canada,81.00,2,11,-77.2684887,43.9940363
8,A. Smith Bowman,United States,82.89,23,113,-77.4507890,38.2815350
10,Acha,Spain,77.00,1,1,-2.9999474,43.0473150
11,Adirondack Distilling Co.,United States,0.00,3,1,-75.2413885,43.1041606
12,Adnams,United Kingdom,74.65,8,76,1.6806639,52.3270927
16,Agárdi Pálinkafőzde,Hungary,80.67,1,6,18.5988140,47.1866319
17,Agder Brenneri,Norway,64.61,3,49,8.5541109,58.3173075
18,Aichinger,Austria,74.76,5,56,14.5500720,47.5162310
19,Aichinger,Austria,74.76,5,56,14.5500720,47.5162310
20,Aichinger,Austria,74.76,5,56,14.5500720,47.5162310
21,Aioi Unibio Co. Ltd.,Japan,79.00,1,4,137.0389764,34.8743541
22,Akkeshi Distillery,Japan,75.75,2,13,144.8207031,43.0706646
23,Alambik,Netherlands,76.32,3,29,6.9902240,53.1857059
24,Alaska Distillery,United States,55.00,2,5,-149.3400492,61.5961466
26,Alberta Distillers Ltd.,Canada,83.61,37,407,-114.0270621,51.0229636
27,Alde Gott,Germany,84.60,2,8,8.1294008,48.6136781
29,Allgäu-Brennerei Günther GmbH,Germany,63.17,4,9,10.3259357,47.6803325
30,Alpenwhisky-Destillerie,Austria,84.33,11,9,9.6374868,47.2090625
31,Alpirsbacher Klosterbräu ,Germany,83.00,1,4,8.4030500,48.3456600
32,Alt Enderle,Germany,83.66,17,61,9.4535920,49.4863501
33,Alte Brennerei,Switzerland,72.00,1,3,7.6928120,47.4695888
34,Alte Hausbrennerei A. Wecklein,Germany,66.75,4,6,10.0082987,49.9502797
35,Altore,France,64.63,2,12,2.2137490,46.2276380
36,Altore,France,64.63,2,12,2.2137490,46.2276380
37,Altore,France,64.63,2,12,2.2137490,46.2276380
38,Amador Distillery,United States,85.00,5,7,-120.7546162,38.3373593
39,Amrut,India,85.06,316,7365,78.9628800,20.5936840
40,Amrut,India,85.06,316,7365,78.9628800,20.5936840
41,Amrut,India,85.06,316,7365,78.9628800,20.5936840
42,Anchor Distilling Company,United States,84.00,19,105,-122.4007997,37.7633040
45,Archie Rose Distilling Co.,Australia,0.00,1,1,151.2022642,-33.9170937
46,Arcus,Norway,78.13,5,25,10.9422992,59.9901238
47,Arizona High Spirits Distillery,United States,72.00,1,1,-111.5862777,35.2183676
48,Arnsteiner Brauerei,Germany,0.00,1,2,9.9733100,49.9770200
49,Asaka,Japan,87.00,11,55,140.3597421,37.4005290
50,Ascendant Spirits,United States,86.00,4,4,-120.2023320,34.6099760
51,Asheville Distilling Co.,United States,50.00,5,5,-82.4978929,35.5708064
52,Astidama,Indonesia,71.00,3,8,115.1113622,-8.5337414
53,ASW,United States,0.00,2,2,-84.3819669,33.8095316
56,Augustus Rex,Germany,0.00,1,4,13.7683162,51.1114390
58,Authentic Seacoast Distilling Co. Ltd.,Canada,72.00,2,1,-61.5034382,45.4015045
59,Avadis Distillery,Germany,70.09,23,53,6.4518313,49.5978374
61,bachgau-Destille,Germany,58.50,6,12,9.0179278,49.8883851
62,Badmils Black Distillery,Austria,84.00,1,1,11.5346285,47.2918157
63,Bainbridge,United States,0.00,2,4,-122.5247099,47.6481346
64,Bakery Hill Distillery,Australia,81.70,11,50,145.2974780,-37.8196920
65,Balcones Distilling,United States,80.22,54,386,-97.1412275,31.5461569
66,Ballast Point,United States,0.00,4,4,-117.1109407,32.8985252
69,Bardstown Bourbon Company,United States,79.00,2,3,-85.4079807,37.8097483
71,Barrell Craft Spirits,United States,85.99,39,117,-85.7022337,38.1879667
72,Barton 1792 Distillery,United States,83.60,55,437,-85.4778283,37.8049058
73,Basilico France,France,78.50,4,5,5.6867963,45.2187193
74,Békési Manufaktúra,Hungary,57.34,3,21,21.1287920,46.7711890
75,Belgrove,Australia,86.00,3,3,147.1869912,-42.5025237
78,Belmont Farm Distillery,United States,50.00,6,14,-77.9925740,38.3729283
79,Bendistillery,United States,76.00,3,1,-121.3573550,44.1597801
81,Berkshire Mountain Distillers,United States,82.00,6,8,-73.3621656,42.1949961
82,Bernheim,United States,85.06,25,425,-85.7812008,38.2451276
83,Bertrand,France,78.54,18,64,1.4626576,48.4296841
84,BFLO Distilling Company,United States,0.00,2,1,-78.8452760,42.8750418
85,Bières Michard,France,77.00,2,3,1.2875998,45.8546300
86,Bieri Brennerei Bauernhof,Switzerland,79.60,11,40,8.5457272,47.1764904
87,Bieri Brennerei Bauernhof,Switzerland,79.60,11,40,8.5457272,47.1764904
88,Big Bottom Distilling,United States,82.38,15,27,-122.8953519,45.5317530
89,Bimber Distillery,United Kingdom,77.50,8,4,-0.2645734,51.5259270
90,Birgitta Rust - Piekfeine Brände e.K.,Germany,71.63,7,21,8.7776422,53.0862075
91,Birkenhof-Brennerei GmbH,Germany,77.92,20,107,7.9003643,50.6359322
93,Black Canyon Distillery,United States,0.00,1,2,-104.9714231,40.2018190
94,Black Dirt Distillery,United States,79.00,18,6,-74.4377452,41.2934814
95,Black Gate Distillery,Australia,0.00,5,3,149.1172064,-31.8342192
96,Black Heron Spirits,United States,0.00,2,1,-119.3919592,46.2874645
98,Blaue Maus,Germany,73.68,85,159,11.0335825,49.7732755
99,Blaum Bros. Distilling Co.,United States,89.00,3,3,-90.4103828,42.4065501
101,Blue Ridge Distilling Co.,United States,63.11,2,15,-81.7930283,35.5394275
104,Boann Distillery,Ireland,79.00,1,1,-6.3677521,53.6948348
105,Böckl,Austria,69.00,4,4,16.5552231,48.2964235
106,Bolanachi,Egypt,11.25,3,1,30.8024980,26.8205530
107,Bolanachi,Egypt,11.25,3,1,30.8024980,26.8205530
109,Boldizar,Germany,72.00,1,2,8.5641247,49.8710508
111,Boone County Distilling Co.,United States,75.00,3,5,-84.6136560,38.9468100
112,Bosch-Edelbrand,Germany,69.65,4,25,9.4633957,48.5616724
113,Boston Harbor Distillery,United States,0.00,3,2,-71.0410241,42.2921331
114,Böttchehof,Germany,24.00,2,6,7.7576400,47.9572000
115,Bow Street Distillery,Ireland,85.61,47,86,-6.2769754,53.3476218
116,Box,Sweden,83.18,99,4105,17.7985730,63.0015247
117,Braeckman Distillers,Belgium,88.27,1,40,3.5754165,50.8191447
118,Brænderiet Limfjorden,Denmark,0.00,1,2,9.5017850,56.2639200
119,Brænderiet Limfjorden,Denmark,0.00,1,2,9.5017850,56.2639200
120,Brænderiet Limfjorden,Denmark,0.00,1,2,9.5017850,56.2639200
122,Brasserie de Bercloux,France,62.67,6,25,-0.4704064,45.8348788
123,Brauerei Aare Bier / Old River,Switzerland,72.00,3,2,7.2439810,47.0411534
124,Brauerei Baumgartner Tiroler Bier,Austria,78.00,2,2,11.3881346,47.2543545
125,Brauerei Falken AG,Switzerland,79.95,8,25,8.6435888,47.7104657
126,Brauerei Locher,Switzerland,82.81,196,2229,9.4124588,47.3309868
127,Brauerei Monstein,Switzerland,70.21,22,18,9.7716255,46.7118549
129,Braugasthof Papiermühle,Germany,75.00,6,12,11.5579310,50.9373018
130,Brauhaus am Lohberg zu Wismar,Germany,81.08,4,22,11.4610620,53.8953629
131,Braunstein,Denmark,79.36,34,403,12.1886963,55.4531315
132,Breckenridge Distillery,United States,83.03,5,55,-106.0522157,39.5096692
133,Brenne,France,68.47,5,28,2.2137490,46.2276380
134,Brenne,France,68.47,5,28,2.2137490,46.2276380
135,Brenne,France,68.47,5,28,2.2137490,46.2276380
