index,Brand,Country,Whiskies,Votes,Rating,Brand_Ranking
0,"'"GF'"",Scotland,3,3,91.42,B
1,"'"L'"",Scotland,1,1,83.67,D
3,'S Peaty,Scotland,11,5,86.81,C
4,'t Koelschip,Netherlands,8,6,33.45,G
5,(ri)1,United States,3,3,71.13,F
6,100 Pipers,Scotland,33,11,72.72,F
7,100% Islay Selection,Scotland,5,4,86.36,C
10,11Wells,United States,6,1,76.00,E
11,12 (B) Squadron,Scotland,2,1,86.00,C
13,1512 Spirits,United States,8,3,80.27,D
15,1792,United States,16,10,86.78,C
18,1815 - 13 Sterne,Switzerland,2,1,80.00,D
20,1836,Scotland,6,4,85.78,C
22,1936,Canada,1,1,80.00,D
23,2 Gingers,Ireland,1,1,76.27,E
24,2003 X 2013,Scotland,1,1,85.60,C
25,2005 X 2015,Scotland,1,1,86.62,C
27,2bar,United States,3,3,73.67,F
28,2nd Chance,United States,3,2,79.94,E
30,3 Isles,Scotland,1,1,75.00,E
31,3020,Switzerland,1,1,77.00,E
32,3D,Scotland,1,1,82.25,D
35,500 Year Malt,Scotland,2,2,89.00,C
36,5th and Harrison,Scotland,1,1,87.67,C
38,8:00 PM,India,2,1,62.00,G
39,8 Seconds,Canada,2,1,68.00,G
41,808,Scotland,2,1,74.00,F
42,A Confidential Distillery in Speyside,Scotland,1,1,87.00,C
43,A Distillery in Ireland,Ireland,3,3,87.08,C
44,A Distillery in Orkney,Scotland,4,2,87.61,C
45,A Distillery in Speyside,Scotland,1,1,89.00,C
46,A Distillery in Tennessee,United States,1,1,87.00,C
47,A Dream Of Scotland,Scotland,21,17,86.75,C
48,A Drop of the Irish,Ireland,29,21,84.09,D
49,A Local Islay,Scotland,1,1,81.67,D
50,A Northern Islay Distillery,Scotland,2,2,89.17,C
51,A Rare Find,Scotland,2,2,91.67,B
55,A Speyside Distillery,Scotland,11,10,86.73,C
56,A Speyside Malt,Scotland,1,1,88.00,C
57,A Speyside Single Malt,Scotland,3,3,90.41,B
58,A Splendid Speyside Surprise,Scotland,1,1,85.00,C
59,A Very Special Speyside,Scotland,1,1,86.00,C
60,A'echter Mölltaler,Austria,1,1,89.00,C
61,A. D. Laws,United States,10,3,83.33,D
64,A.H. Hirsch,United States,16,7,91.16,B
66,Aass & Egge,Norway,1,1,76.67,E
68,Aberdeen Angus,Argentina,1,1,55.00,G
71,Aberfeldy,Scotland,269,203,83.54,D
73,Aberlogie,Scotland,2,2,90.00,B
74,Aberlour,Scotland,777,611,85.12,C
75,Aberlour Glenlivet,Scotland,2,1,85.50,C
76,Abhainn Dearg,Scotland,19,17,66.13,G
77,Abrachan,Scotland,3,3,80.22,D
78,Abraham Bowman,United States,13,11,82.48,D
80,Adelscott,Scotland,1,1,81.00,D
83,Adnams,United Kingdom,8,7,73.94,F
84,Advent Scot,Scotland,1,1,76.50,E
86,Aecht Schlenkerla,Germany,1,1,61.00,G
88,Aflodals,Sweden,2,1,88.00,C
91,Against the Grain,Scotland,7,6,83.11,D
92,Agárdi,Hungary,1,1,80.67,D
93,Aged Malt Spirit,France,1,1,42.50,G
94,Aichinger,Austria,5,5,74.76,F
96,Ailein Mor,Scotland,2,2,82.00,D
97,Ailsa Bay,Scotland,2,2,80.75,D
98,Ainslie's,Scotland,32,12,82.35,D
100,Alainn,Scotland,1,1,92.00,B
101,Alambik,Netherlands,3,2,76.32,E
102,Alaska Outlaw,United States,1,1,55.00,G
106,Alberta,Canada,12,8,81.05,D
110,Aldunie Dufftown Malt,Scotland,1,1,85.00,C
116,Alibi,United States,2,1,50.00,G
117,Alistair Cunningham's,Scotland,1,1,88.00,C
120,Allgäu-Whisky,Germany,4,2,63.17,G
125,Allt-a-Bhainne,Scotland,263,198,82.39,D
126,Alpenwhisky,Austria,11,4,84.33,D
127,Alt Enderle,Germany,17,14,83.66,D
128,Altore,France,2,2,64.63,G
129,Always Mellow,Scotland,1,1,68.50,G
