Brand_ID,Brand,Country,Whiskies,Votes,Rating,Brand_Ranking
1,"""GF""",Scotland,3,3,91.42,B
2,"""L""",Scotland,1,1,83.67,D
3,"""zari"" on top",Scotland,1,NA,NA,G
4,'S Peaty,Scotland,11,5,86.81,C
5,'t Koelschip,Netherlands,8,6,33.45,G
6,(ri)1,United States,3,3,71.13,F
7,100 Pipers,Scotland,33,11,72.72,F
8,100% Islay Selection,Scotland,5,4,86.36,C
9,106 Sample Room,Scotland,1,NA,NA,G
10,10th Mountain,United States,2,NA,NA,G
11,11Wells,United States,6,1,76,E
12,12 (B) Squadron,Scotland,2,1,86,C
13,150th Tomintoul Highland Games,Scotland,1,NA,NA,G
14,1512 Spirits,United States,8,3,80.27,D
15,1770,Scotland,1,NA,NA,G
16,1792,United States,16,10,86.78,C
17,1794 Maryland,United States,1,NA,NA,G
18,1812 Maryland,United States,1,NA,NA,G
19,1815 - 13 Sterne,Switzerland,2,1,80,D
20,1835,United States,2,NA,NA,G
21,1836,Scotland,6,4,85.78,C
22,1907,Bhutan,1,NA,NA,G
23,1936,Canada,1,1,80,D
24,2 Gingers,Ireland,1,1,76.27,E
25,2003 X 2013,Scotland,1,1,85.6,C
26,2005 X 2015,Scotland,1,1,86.62,C
27,21 Brands,United States,1,NA,NA,G
28,2bar,United States,3,3,73.67,F
29,2nd Chance,United States,3,2,79.94,E
30,3 Howls,United States,3,NA,NA,G
31,3 Isles,Scotland,1,1,75,E
32,3020,Switzerland,1,1,77,E
33,3D,Scotland,1,1,82.25,D
34,5 Gulden,Austria,1,NA,NA,G
35,50 Years' Celebration,Scotland,1,NA,NA,G
36,500 Year Malt,Scotland,2,2,89,C
37,5th and Harrison,Scotland,1,1,87.67,C
38,6th Avenue,United States,1,NA,NA,G
39,8:00 PM,India,2,1,62,G
40,8 Seconds,Canada,2,1,68,G
41,80 20,Scotland,1,NA,NA,G
42,808,Scotland,2,1,74,F
43,A Confidential Distillery in Speyside,Scotland,1,1,87,C
44,A Distillery in Ireland,Ireland,3,3,87.08,C
45,A Distillery in Orkney,Scotland,4,2,87.61,C
46,A Distillery in Speyside,Scotland,1,1,89,C
47,A Distillery in Tennessee,United States,1,1,87,C
48,A Dream Of Scotland,Scotland,21,17,86.75,C
49,A Drop of the Irish,Ireland,29,21,84.09,D
50,A Local Islay,Scotland,1,1,81.67,D
51,A Northern Islay Distillery,Scotland,2,2,89.17,C
52,A Rare Find,Scotland,2,2,91.67,B
53,A Real Scotch Whisky,Scotland,1,NA,NA,G
54,A Secret Highland Still,Scotland,1,NA,NA,G
55,A Single Shot,Scotland,1,NA,NA,G
56,A Speyside Distillery,Scotland,11,10,86.73,C
57,A Speyside Malt,Scotland,1,1,88,C
58,A Speyside Single Malt,Scotland,3,3,90.41,B
59,A Splendid Speyside Surprise,Scotland,1,1,85,C
60,A Very Special Speyside,Scotland,1,1,86,C
61,A'echter Mölltaler,Austria,1,1,89,C
62,A. D. Laws,United States,10,3,83.33,D
63,A. J. Cummins,United States,1,NA,NA,G
64,A. Pichi's,Italy,1,NA,NA,G
65,A.H. Hirsch,United States,16,7,91.16,B
66,AA. Browell & Co.,Scotland,1,NA,NA,G
67,Aass & Egge,Norway,1,1,76.67,E
68,Abe Lincoln's,United States,1,NA,NA,G
69,Aberdeen Angus,Argentina,1,1,55,G
70,Aberdeen Angus Merial,Scotland,1,NA,NA,G
71,Aberdeen Football Club,Scotland,3,NA,NA,G
72,Aberfeldy,Scotland,269,203,83.54,D
73,Abergeldie,Scotland,1,NA,NA,G
74,Aberlogie,Scotland,2,2,90,B
75,Aberlour,Scotland,777,611,85.12,C
76,Aberlour Glenlivet,Scotland,2,1,85.5,C
77,Abhainn Dearg,Scotland,19,17,66.13,G
78,Abrachan,Scotland,3,3,80.22,D
79,Abraham Bowman,United States,13,11,82.48,D
80,Addisons,Scotland,1,NA,NA,G
